# Assembly name:  ASM1834038v1
# Organism name:  Cyprinus carpio (common carp)
# Isolate:  SPL01
# Taxid:          7962
# BioSample:      SAMN17005855
# BioProject:     PRJNA682709
# Submitter:      Chinese Academy of Fishery Sciences
# Date:           2021-05-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAEOAB01
# Assembly method: wtdbg v. 2; quickmerge v. 1
# Expected final version: Yes
# Genome coverage: 184.8x
# Sequencing technology: PacBio; Oxford Nanopore; Illumina HiSeq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_018340385.1
# RefSeq assembly accession: GCF_018340385.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018340415.1	GCF_018340415.1	Primary Assembly
## GCA_018340445.1	GCF_000029015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
S000000594	unplaced-scaffold	na	na	JAEOAB010000626.1	=	NW_024873328.1	Primary Assembly	23504	na
S000000595	unplaced-scaffold	na	na	JAEOAB010000627.1	=	NW_024873329.1	Primary Assembly	21675	na
S000000596	unplaced-scaffold	na	na	JAEOAB010000628.1	=	NW_024873330.1	Primary Assembly	23045	na
S000000597	unplaced-scaffold	na	na	JAEOAB010000629.1	=	NW_024873331.1	Primary Assembly	21850	na
S000000598	unplaced-scaffold	na	na	JAEOAB010000630.1	=	NW_024873332.1	Primary Assembly	24104	na
S000000599	unplaced-scaffold	na	na	JAEOAB010000631.1	=	NW_024873333.1	Primary Assembly	22733	na
S000000600	unplaced-scaffold	na	na	JAEOAB010000632.1	=	NW_024873334.1	Primary Assembly	21019	na
S000000601	unplaced-scaffold	na	na	JAEOAB010000633.1	=	NW_024873335.1	Primary Assembly	21055	na
S000000602	unplaced-scaffold	na	na	JAEOAB010000634.1	=	NW_024873336.1	Primary Assembly	21340	na
S000000603	unplaced-scaffold	na	na	JAEOAB010000635.1	=	NW_024873337.1	Primary Assembly	19442	na
S000000604	unplaced-scaffold	na	na	JAEOAB010000636.1	=	NW_024873338.1	Primary Assembly	2490	na
S000000605	unplaced-scaffold	na	na	JAEOAB010000637.1	=	NW_024873339.1	Primary Assembly	20231	na
S000000606	unplaced-scaffold	na	na	JAEOAB010000638.1	=	NW_024873340.1	Primary Assembly	19629	na
S000000607	unplaced-scaffold	na	na	JAEOAB010000639.1	=	NW_024873341.1	Primary Assembly	18232	na
S000000608	unplaced-scaffold	na	na	JAEOAB010000640.1	=	NW_024873342.1	Primary Assembly	18050	na
S000000609	unplaced-scaffold	na	na	JAEOAB010000641.1	=	NW_024873343.1	Primary Assembly	18114	na
S000000610	unplaced-scaffold	na	na	JAEOAB010000642.1	=	NW_024873344.1	Primary Assembly	17909	na
S000000611	unplaced-scaffold	na	na	JAEOAB010000643.1	=	NW_024873345.1	Primary Assembly	18783	na
S000000612	unplaced-scaffold	na	na	JAEOAB010000644.1	=	NW_024873346.1	Primary Assembly	16209	na
S000000613	unplaced-scaffold	na	na	JAEOAB010000645.1	=	NW_024873347.1	Primary Assembly	17086	na
S000000614	unplaced-scaffold	na	na	JAEOAB010000646.1	=	NW_024873348.1	Primary Assembly	16774	na
S000000615	unplaced-scaffold	na	na	JAEOAB010000647.1	=	NW_024873349.1	Primary Assembly	16772	na
S000000616	unplaced-scaffold	na	na	JAEOAB010000648.1	=	NW_024873350.1	Primary Assembly	15006	na
S000000617	unplaced-scaffold	na	na	JAEOAB010000649.1	=	NW_024873351.1	Primary Assembly	1734	na
S000000618	unplaced-scaffold	na	na	JAEOAB010000650.1	=	NW_024873352.1	Primary Assembly	10349	na
S000000619	unplaced-scaffold	na	na	JAEOAB010000651.1	=	NW_024873353.1	Primary Assembly	14414	na
S000000620	unplaced-scaffold	na	na	JAEOAB010000652.1	=	NW_024873354.1	Primary Assembly	14444	na
S000000621	unplaced-scaffold	na	na	JAEOAB010000653.1	=	NW_024873355.1	Primary Assembly	13476	na
S000000622	unplaced-scaffold	na	na	JAEOAB010000654.1	=	NW_024873356.1	Primary Assembly	14282	na
S000000623	unplaced-scaffold	na	na	JAEOAB010000655.1	=	NW_024873357.1	Primary Assembly	13557	na
S000000624	unplaced-scaffold	na	na	JAEOAB010000656.1	=	NW_024873358.1	Primary Assembly	12471	na
S000000625	unplaced-scaffold	na	na	JAEOAB010000657.1	=	NW_024873359.1	Primary Assembly	9094	na
S000000626	unplaced-scaffold	na	na	JAEOAB010000658.1	=	NW_024873360.1	Primary Assembly	13297	na
S000000627	unplaced-scaffold	na	na	JAEOAB010000659.1	=	NW_024873361.1	Primary Assembly	11302	na
S000000628	unplaced-scaffold	na	na	JAEOAB010000660.1	=	NW_024873362.1	Primary Assembly	11940	na
S000000629	unplaced-scaffold	na	na	JAEOAB010000661.1	=	NW_024873363.1	Primary Assembly	10893	na
S000000630	unplaced-scaffold	na	na	JAEOAB010000662.1	=	NW_024873364.1	Primary Assembly	11914	na
S000000631	unplaced-scaffold	na	na	JAEOAB010000663.1	=	NW_024873365.1	Primary Assembly	11780	na
S000000632	unplaced-scaffold	na	na	JAEOAB010000664.1	=	NW_024873366.1	Primary Assembly	9509	na
S000000633	unplaced-scaffold	na	na	JAEOAB010000665.1	=	NW_024873367.1	Primary Assembly	11172	na
S000000634	unplaced-scaffold	na	na	JAEOAB010000666.1	=	NW_024873368.1	Primary Assembly	10162	na
S000000635	unplaced-scaffold	na	na	JAEOAB010000667.1	=	NW_024873369.1	Primary Assembly	9396	na
S000000636	unplaced-scaffold	na	na	JAEOAB010000668.1	=	NW_024873370.1	Primary Assembly	3782	na
S000000637	unplaced-scaffold	na	na	JAEOAB010000669.1	=	NW_024873371.1	Primary Assembly	9264	na
S000000638	unplaced-scaffold	na	na	JAEOAB010000670.1	=	NW_024873372.1	Primary Assembly	8960	na
S000000639	unplaced-scaffold	na	na	JAEOAB010000671.1	=	NW_024873373.1	Primary Assembly	4980	na
S000000640	unplaced-scaffold	na	na	JAEOAB010000672.1	=	NW_024873374.1	Primary Assembly	8077	na
S000000641	unplaced-scaffold	na	na	JAEOAB010000673.1	=	NW_024873375.1	Primary Assembly	7622	na
S000000642	unplaced-scaffold	na	na	JAEOAB010000674.1	=	NW_024873376.1	Primary Assembly	7791	na
S000000643	unplaced-scaffold	na	na	JAEOAB010000675.1	=	NW_024873377.1	Primary Assembly	6391	na
S000000644	unplaced-scaffold	na	na	JAEOAB010000676.1	=	NW_024873378.1	Primary Assembly	12138	na
S000000645	unplaced-scaffold	na	na	JAEOAB010000677.1	=	NW_024873379.1	Primary Assembly	3620	na
S000000646	unplaced-scaffold	na	na	JAEOAB010000678.1	=	NW_024873380.1	Primary Assembly	4827	na
S000000647	unplaced-scaffold	na	na	JAEOAB010000679.1	=	NW_024873381.1	Primary Assembly	7553	na
S000000648	unplaced-scaffold	na	na	JAEOAB010000680.1	=	NW_024873382.1	Primary Assembly	1800	na
S000000649	unplaced-scaffold	na	na	JAEOAB010000681.1	=	NW_024873383.1	Primary Assembly	1572	na
S000000650	unplaced-scaffold	na	na	JAEOAB010000682.1	=	NW_024873384.1	Primary Assembly	3069	na
S000000651	unplaced-scaffold	na	na	JAEOAB010000683.1	=	NW_024873385.1	Primary Assembly	8500	na
S000000652	unplaced-scaffold	na	na	JAEOAB010000684.1	=	NW_024873386.1	Primary Assembly	1906	na
S000000653	unplaced-scaffold	na	na	JAEOAB010000685.1	=	NW_024873387.1	Primary Assembly	2994	na
S000000654	unplaced-scaffold	na	na	JAEOAB010000686.1	=	NW_024873388.1	Primary Assembly	10073	na
S000000655	unplaced-scaffold	na	na	JAEOAB010000687.1	=	NW_024873389.1	Primary Assembly	1672	na
S000000656	unplaced-scaffold	na	na	JAEOAB010000688.1	=	NW_024873390.1	Primary Assembly	2691	na
S000000657	unplaced-scaffold	na	na	JAEOAB010000689.1	=	NW_024873391.1	Primary Assembly	2242	na
S000000658	unplaced-scaffold	na	na	JAEOAB010000690.1	=	NW_024873392.1	Primary Assembly	224778	na
S000000659	unplaced-scaffold	na	na	JAEOAB010000691.1	=	NW_024873393.1	Primary Assembly	2283	na
S000000660	unplaced-scaffold	na	na	JAEOAB010000692.1	=	NW_024873394.1	Primary Assembly	3680	na
S000000661	unplaced-scaffold	na	na	JAEOAB010000693.1	=	NW_024873395.1	Primary Assembly	3784	na
S000000662	unplaced-scaffold	na	na	JAEOAB010000694.1	=	NW_024873396.1	Primary Assembly	2028	na
S000000663	unplaced-scaffold	na	na	JAEOAB010000695.1	=	NW_024873397.1	Primary Assembly	1772	na
S000000664	unplaced-scaffold	na	na	JAEOAB010000696.1	=	NW_024873398.1	Primary Assembly	5779	na
S000000665	unplaced-scaffold	na	na	JAEOAB010000697.1	=	NW_024873399.1	Primary Assembly	1816	na
S000000666	unplaced-scaffold	na	na	JAEOAB010000698.1	=	NW_024873400.1	Primary Assembly	1602	na
S000000667	unplaced-scaffold	na	na	JAEOAB010000699.1	=	NW_024873401.1	Primary Assembly	1975	na
S000000668	unplaced-scaffold	na	na	JAEOAB010000700.1	=	NW_024873402.1	Primary Assembly	2671	na
S000000669	unplaced-scaffold	na	na	JAEOAB010000701.1	=	NW_024873403.1	Primary Assembly	2179	na
S000000670	unplaced-scaffold	na	na	JAEOAB010000702.1	=	NW_024873404.1	Primary Assembly	4009	na
S000000671	unplaced-scaffold	na	na	JAEOAB010000703.1	=	NW_024873405.1	Primary Assembly	2072	na
S000000672	unplaced-scaffold	na	na	JAEOAB010000704.1	=	NW_024873406.1	Primary Assembly	6419	na
S000000673	unplaced-scaffold	na	na	JAEOAB010000705.1	=	NW_024873407.1	Primary Assembly	26251	na
S000000674	unplaced-scaffold	na	na	JAEOAB010000706.1	=	NW_024873408.1	Primary Assembly	27334	na
S000000675	unplaced-scaffold	na	na	JAEOAB010000707.1	=	NW_024873409.1	Primary Assembly	5102	na
S000000676	unplaced-scaffold	na	na	JAEOAB010000708.1	=	NW_024873410.1	Primary Assembly	48390	na
S000000677	unplaced-scaffold	na	na	JAEOAB010000709.1	=	NW_024873411.1	Primary Assembly	106998	na
S000000678	unplaced-scaffold	na	na	JAEOAB010000710.1	=	NW_024873412.1	Primary Assembly	20194	na
S000000679	unplaced-scaffold	na	na	JAEOAB010000711.1	=	NW_024873413.1	Primary Assembly	7613	na
S000000680	unplaced-scaffold	na	na	JAEOAB010000712.1	=	NW_024873414.1	Primary Assembly	24226	na
S000000681	unplaced-scaffold	na	na	JAEOAB010000713.1	=	NW_024873415.1	Primary Assembly	7302	na
S000000682	unplaced-scaffold	na	na	JAEOAB010000714.1	=	NW_024873416.1	Primary Assembly	7959	na
S000000683	unplaced-scaffold	na	na	JAEOAB010000715.1	=	NW_024873417.1	Primary Assembly	553	na
S000000684	unplaced-scaffold	na	na	JAEOAB010000716.1	=	NW_024873418.1	Primary Assembly	12736	na
S000000685	unplaced-scaffold	na	na	JAEOAB010000717.1	=	NW_024873419.1	Primary Assembly	24249	na
S000000686	unplaced-scaffold	na	na	JAEOAB010000718.1	=	NW_024873420.1	Primary Assembly	6503	na
S000000687	unplaced-scaffold	na	na	JAEOAB010000719.1	=	NW_024873421.1	Primary Assembly	13608	na
S000000688	unplaced-scaffold	na	na	JAEOAB010000720.1	=	NW_024873422.1	Primary Assembly	14711	na
S000000689	unplaced-scaffold	na	na	JAEOAB010000721.1	=	NW_024873423.1	Primary Assembly	14200	na
S000000690	unplaced-scaffold	na	na	JAEOAB010000722.1	=	NW_024873424.1	Primary Assembly	4630	na
S000000691	unplaced-scaffold	na	na	JAEOAB010000723.1	=	NW_024873425.1	Primary Assembly	19080	na
S000000692	unplaced-scaffold	na	na	JAEOAB010000724.1	=	NW_024873426.1	Primary Assembly	11652	na
S000000693	unplaced-scaffold	na	na	JAEOAB010000725.1	=	NW_024873427.1	Primary Assembly	20558	na
S000000695	unplaced-scaffold	na	na	JAEOAB010000726.1	=	NW_024873428.1	Primary Assembly	4757	na
S000000696	unplaced-scaffold	na	na	JAEOAB010000727.1	=	NW_024873429.1	Primary Assembly	21309	na
S000000697	unplaced-scaffold	na	na	JAEOAB010000728.1	=	NW_024873430.1	Primary Assembly	28315	na
S000000698	unplaced-scaffold	na	na	JAEOAB010000729.1	=	NW_024873431.1	Primary Assembly	9256	na
S000000699	unplaced-scaffold	na	na	JAEOAB010000730.1	=	NW_024873432.1	Primary Assembly	14852	na
S000000700	unplaced-scaffold	na	na	JAEOAB010000731.1	=	NW_024873433.1	Primary Assembly	5398	na
S000000701	unplaced-scaffold	na	na	JAEOAB010000732.1	=	NW_024873434.1	Primary Assembly	8684	na
S000000703	unplaced-scaffold	na	na	JAEOAB010000733.1	=	NW_024873435.1	Primary Assembly	1092	na
S000000704	unplaced-scaffold	na	na	JAEOAB010000734.1	=	NW_024873436.1	Primary Assembly	2519	na
S000000705	unplaced-scaffold	na	na	JAEOAB010000735.1	=	NW_024873437.1	Primary Assembly	6122	na
S000000706	unplaced-scaffold	na	na	JAEOAB010000736.1	=	NW_024873438.1	Primary Assembly	1700	na
S000000707	unplaced-scaffold	na	na	JAEOAB010000737.1	=	NW_024873439.1	Primary Assembly	20869	na
S000000708	unplaced-scaffold	na	na	JAEOAB010000738.1	=	NW_024873440.1	Primary Assembly	4086	na
S000000709	unplaced-scaffold	na	na	JAEOAB010000739.1	=	NW_024873441.1	Primary Assembly	11454	na
S000000710	unplaced-scaffold	na	na	JAEOAB010000740.1	=	NW_024873442.1	Primary Assembly	1943	na
S000000711	unplaced-scaffold	na	na	JAEOAB010000741.1	=	NW_024873443.1	Primary Assembly	1769	na
S000000712	unplaced-scaffold	na	na	JAEOAB010000742.1	=	NW_024873444.1	Primary Assembly	2354	na
S000000713	unplaced-scaffold	na	na	JAEOAB010000743.1	=	NW_024873445.1	Primary Assembly	2196	na
S000000714	unplaced-scaffold	na	na	JAEOAB010000744.1	=	NW_024873446.1	Primary Assembly	2819	na
S000000715	unplaced-scaffold	na	na	JAEOAB010000745.1	=	NW_024873447.1	Primary Assembly	38298	na
S000000716	unplaced-scaffold	na	na	JAEOAB010000746.1	=	NW_024873448.1	Primary Assembly	4356	na
S000000717	unplaced-scaffold	na	na	JAEOAB010000747.1	=	NW_024873449.1	Primary Assembly	1892	na
S000000718	unplaced-scaffold	na	na	JAEOAB010000748.1	=	NW_024873450.1	Primary Assembly	7673	na
S000000719	unplaced-scaffold	na	na	JAEOAB010000749.1	=	NW_024873451.1	Primary Assembly	10796	na
S000000720	unplaced-scaffold	na	na	JAEOAB010000750.1	=	NW_024873452.1	Primary Assembly	8232	na
S000000721	unplaced-scaffold	na	na	JAEOAB010000751.1	=	NW_024873453.1	Primary Assembly	2844	na
S000000722	unplaced-scaffold	na	na	JAEOAB010000752.1	=	NW_024873454.1	Primary Assembly	4437	na
S000000723	unplaced-scaffold	na	na	JAEOAB010000753.1	=	NW_024873455.1	Primary Assembly	2113	na
S000000724	unplaced-scaffold	na	na	JAEOAB010000754.1	=	NW_024873456.1	Primary Assembly	4706	na
S000000726	unplaced-scaffold	na	na	JAEOAB010000755.1	=	NW_024873457.1	Primary Assembly	4961	na
S000000727	unplaced-scaffold	na	na	JAEOAB010000756.1	=	NW_024873458.1	Primary Assembly	8260	na
S000000728	unplaced-scaffold	na	na	JAEOAB010000757.1	=	NW_024873459.1	Primary Assembly	12662	na
S000000729	unplaced-scaffold	na	na	JAEOAB010000758.1	=	NW_024873460.1	Primary Assembly	6606	na
S000000730	unplaced-scaffold	na	na	JAEOAB010000759.1	=	NW_024873461.1	Primary Assembly	2128	na
S000000731	unplaced-scaffold	na	na	JAEOAB010000760.1	=	NW_024873462.1	Primary Assembly	5368	na
S000000732	unplaced-scaffold	na	na	JAEOAB010000761.1	=	NW_024873463.1	Primary Assembly	2054	na
S000000733	unplaced-scaffold	na	na	JAEOAB010000762.1	=	NW_024873464.1	Primary Assembly	1726	na
S000000734	unplaced-scaffold	na	na	JAEOAB010000763.1	=	NW_024873465.1	Primary Assembly	23192	na
S000000735	unplaced-scaffold	na	na	JAEOAB010000764.1	=	NW_024873466.1	Primary Assembly	21827	na
S000000736	unplaced-scaffold	na	na	JAEOAB010000765.1	=	NW_024873467.1	Primary Assembly	5811	na
S000000738	unplaced-scaffold	na	na	JAEOAB010000766.1	=	NW_024873468.1	Primary Assembly	35194	na
S000000739	unplaced-scaffold	na	na	JAEOAB010000767.1	=	NW_024873469.1	Primary Assembly	30615	na
S000000740	unplaced-scaffold	na	na	JAEOAB010000768.1	=	NW_024873470.1	Primary Assembly	15516	na
S000000742	unplaced-scaffold	na	na	JAEOAB010000769.1	=	NW_024873471.1	Primary Assembly	29125	na
S000000743	unplaced-scaffold	na	na	JAEOAB010000770.1	=	NW_024873472.1	Primary Assembly	26596	na
S000000744	unplaced-scaffold	na	na	JAEOAB010000771.1	=	NW_024873473.1	Primary Assembly	27028	na
S000000745	unplaced-scaffold	na	na	JAEOAB010000772.1	=	NW_024873474.1	Primary Assembly	25939	na
S000000746	unplaced-scaffold	na	na	JAEOAB010000773.1	=	NW_024873475.1	Primary Assembly	1917	na
S000000747	unplaced-scaffold	na	na	JAEOAB010000774.1	=	NW_024873476.1	Primary Assembly	1450	na
S000000748	unplaced-scaffold	na	na	JAEOAB010000775.1	=	NW_024873477.1	Primary Assembly	24349	na
S000000749	unplaced-scaffold	na	na	JAEOAB010000776.1	=	NW_024873478.1	Primary Assembly	24045	na
S000000750	unplaced-scaffold	na	na	JAEOAB010000777.1	=	NW_024873479.1	Primary Assembly	8931	na
S000000751	unplaced-scaffold	na	na	JAEOAB010000778.1	=	NW_024873480.1	Primary Assembly	23795	na
S000000752	unplaced-scaffold	na	na	JAEOAB010000779.1	=	NW_024873481.1	Primary Assembly	22519	na
S000000753	unplaced-scaffold	na	na	JAEOAB010000780.1	=	NW_024873482.1	Primary Assembly	22217	na
S000000754	unplaced-scaffold	na	na	JAEOAB010000781.1	=	NW_024873483.1	Primary Assembly	22257	na
S000000755	unplaced-scaffold	na	na	JAEOAB010000782.1	=	NW_024873484.1	Primary Assembly	24091	na
S000000756	unplaced-scaffold	na	na	JAEOAB010000783.1	=	NW_024873485.1	Primary Assembly	21460	na
S000000757	unplaced-scaffold	na	na	JAEOAB010000784.1	=	NW_024873486.1	Primary Assembly	21736	na
S000000758	unplaced-scaffold	na	na	JAEOAB010000785.1	=	NW_024873487.1	Primary Assembly	2539	na
S000000759	unplaced-scaffold	na	na	JAEOAB010000786.1	=	NW_024873488.1	Primary Assembly	20967	na
S000000760	unplaced-scaffold	na	na	JAEOAB010000787.1	=	NW_024873489.1	Primary Assembly	20027	na
S000000761	unplaced-scaffold	na	na	JAEOAB010000788.1	=	NW_024873490.1	Primary Assembly	19039	na
S000000762	unplaced-scaffold	na	na	JAEOAB010000789.1	=	NW_024873491.1	Primary Assembly	17918	na
S000000763	unplaced-scaffold	na	na	JAEOAB010000790.1	=	NW_024873492.1	Primary Assembly	6750	na
S000000764	unplaced-scaffold	na	na	JAEOAB010000791.1	=	NW_024873493.1	Primary Assembly	13528	na
S000000765	unplaced-scaffold	na	na	JAEOAB010000792.1	=	NW_024873494.1	Primary Assembly	17185	na
S000000766	unplaced-scaffold	na	na	JAEOAB010000793.1	=	NW_024873495.1	Primary Assembly	16606	na
S000000767	unplaced-scaffold	na	na	JAEOAB010000794.1	=	NW_024873496.1	Primary Assembly	15825	na
S000000768	unplaced-scaffold	na	na	JAEOAB010000795.1	=	NW_024873497.1	Primary Assembly	16795	na
S000000769	unplaced-scaffold	na	na	JAEOAB010000796.1	=	NW_024873498.1	Primary Assembly	15956	na
S000000770	unplaced-scaffold	na	na	JAEOAB010000797.1	=	NW_024873499.1	Primary Assembly	15249	na
S000000771	unplaced-scaffold	na	na	JAEOAB010000798.1	=	NW_024873500.1	Primary Assembly	16924	na
S000000772	unplaced-scaffold	na	na	JAEOAB010000799.1	=	NW_024873501.1	Primary Assembly	9345	na
S000000773	unplaced-scaffold	na	na	JAEOAB010000800.1	=	NW_024873502.1	Primary Assembly	16360	na
S000000774	unplaced-scaffold	na	na	JAEOAB010000801.1	=	NW_024873503.1	Primary Assembly	9245	na
S000000775	unplaced-scaffold	na	na	JAEOAB010000802.1	=	NW_024873504.1	Primary Assembly	14619	na
S000000776	unplaced-scaffold	na	na	JAEOAB010000803.1	=	NW_024873505.1	Primary Assembly	14352	na
S000000777	unplaced-scaffold	na	na	JAEOAB010000804.1	=	NW_024873506.1	Primary Assembly	13891	na
S000000778	unplaced-scaffold	na	na	JAEOAB010000805.1	=	NW_024873507.1	Primary Assembly	13836	na
S000000779	unplaced-scaffold	na	na	JAEOAB010000806.1	=	NW_024873508.1	Primary Assembly	14058	na
S000000780	unplaced-scaffold	na	na	JAEOAB010000807.1	=	NW_024873509.1	Primary Assembly	13265	na
S000000781	unplaced-scaffold	na	na	JAEOAB010000808.1	=	NW_024873510.1	Primary Assembly	13781	na
S000000782	unplaced-scaffold	na	na	JAEOAB010000809.1	=	NW_024873511.1	Primary Assembly	9674	na
S000000783	unplaced-scaffold	na	na	JAEOAB010000810.1	=	NW_024873512.1	Primary Assembly	2263	na
S000000784	unplaced-scaffold	na	na	JAEOAB010000811.1	=	NW_024873513.1	Primary Assembly	12491	na
S000000785	unplaced-scaffold	na	na	JAEOAB010000812.1	=	NW_024873514.1	Primary Assembly	11545	na
S000000786	unplaced-scaffold	na	na	JAEOAB010000813.1	=	NW_024873515.1	Primary Assembly	3207	na
S000000787	unplaced-scaffold	na	na	JAEOAB010000814.1	=	NW_024873516.1	Primary Assembly	11198	na
S000000788	unplaced-scaffold	na	na	JAEOAB010000815.1	=	NW_024873517.1	Primary Assembly	9504	na
S000000789	unplaced-scaffold	na	na	JAEOAB010000816.1	=	NW_024873518.1	Primary Assembly	11083	na
S000000790	unplaced-scaffold	na	na	JAEOAB010000817.1	=	NW_024873519.1	Primary Assembly	4185	na
S000000791	unplaced-scaffold	na	na	JAEOAB010000818.1	=	NW_024873520.1	Primary Assembly	9812	na
S000000792	unplaced-scaffold	na	na	JAEOAB010000819.1	=	NW_024873521.1	Primary Assembly	9672	na
S000000793	unplaced-scaffold	na	na	JAEOAB010000820.1	=	NW_024873522.1	Primary Assembly	8905	na
S000000794	unplaced-scaffold	na	na	JAEOAB010000821.1	=	NW_024873523.1	Primary Assembly	9840	na
S000000795	unplaced-scaffold	na	na	JAEOAB010000822.1	=	NW_024873524.1	Primary Assembly	8309	na
S000000796	unplaced-scaffold	na	na	JAEOAB010000823.1	=	NW_024873525.1	Primary Assembly	12945	na
S000000797	unplaced-scaffold	na	na	JAEOAB010000824.1	=	NW_024873526.1	Primary Assembly	5228	na
S000000798	unplaced-scaffold	na	na	JAEOAB010000825.1	=	NW_024873527.1	Primary Assembly	6462	na
S000000799	unplaced-scaffold	na	na	JAEOAB010000826.1	=	NW_024873528.1	Primary Assembly	4851	na
S000000800	unplaced-scaffold	na	na	JAEOAB010000827.1	=	NW_024873529.1	Primary Assembly	5786	na
S000000801	unplaced-scaffold	na	na	JAEOAB010000828.1	=	NW_024873530.1	Primary Assembly	18308	na
S000000802	unplaced-scaffold	na	na	JAEOAB010000829.1	=	NW_024873531.1	Primary Assembly	6693	na
S000000803	unplaced-scaffold	na	na	JAEOAB010000830.1	=	NW_024873532.1	Primary Assembly	2851	na
S000000804	unplaced-scaffold	na	na	JAEOAB010000831.1	=	NW_024873533.1	Primary Assembly	4158	na
S000000805	unplaced-scaffold	na	na	JAEOAB010000832.1	=	NW_024873534.1	Primary Assembly	5127	na
S000000806	unplaced-scaffold	na	na	JAEOAB010000833.1	=	NW_024873535.1	Primary Assembly	5217	na
S000000807	unplaced-scaffold	na	na	JAEOAB010000834.1	=	NW_024873536.1	Primary Assembly	274568	na
S000000808	unplaced-scaffold	na	na	JAEOAB010000835.1	=	NW_024873537.1	Primary Assembly	2122	na
S000000809	unplaced-scaffold	na	na	JAEOAB010000836.1	=	NW_024873538.1	Primary Assembly	2634	na
S000000810	unplaced-scaffold	na	na	JAEOAB010000837.1	=	NW_024873539.1	Primary Assembly	1669	na
S000000811	unplaced-scaffold	na	na	JAEOAB010000838.1	=	NW_024873540.1	Primary Assembly	2606	na
S000000812	unplaced-scaffold	na	na	JAEOAB010000839.1	=	NW_024873541.1	Primary Assembly	4783	na
S000000813	unplaced-scaffold	na	na	JAEOAB010000840.1	=	NW_024873542.1	Primary Assembly	1998	na
S000000814	unplaced-scaffold	na	na	JAEOAB010000841.1	=	NW_024873543.1	Primary Assembly	92441	na
S000000815	unplaced-scaffold	na	na	JAEOAB010000842.1	=	NW_024873544.1	Primary Assembly	5111	na
S000000816	unplaced-scaffold	na	na	JAEOAB010000843.1	=	NW_024873545.1	Primary Assembly	1859	na
S000000817	unplaced-scaffold	na	na	JAEOAB010000844.1	=	NW_024873546.1	Primary Assembly	2432	na
S000000818	unplaced-scaffold	na	na	JAEOAB010000845.1	=	NW_024873547.1	Primary Assembly	6495	na
S000000819	unplaced-scaffold	na	na	JAEOAB010000846.1	=	NW_024873548.1	Primary Assembly	4144	na
S000000820	unplaced-scaffold	na	na	JAEOAB010000847.1	=	NW_024873549.1	Primary Assembly	3635	na
S000000821	unplaced-scaffold	na	na	JAEOAB010000848.1	=	NW_024873550.1	Primary Assembly	5819	na
S000000822	unplaced-scaffold	na	na	JAEOAB010000849.1	=	NW_024873551.1	Primary Assembly	2070	na
S000000823	unplaced-scaffold	na	na	JAEOAB010000850.1	=	NW_024873552.1	Primary Assembly	1925	na
S000000824	unplaced-scaffold	na	na	JAEOAB010000851.1	=	NW_024873553.1	Primary Assembly	1866	na
S000000825	unplaced-scaffold	na	na	JAEOAB010000852.1	=	NW_024873554.1	Primary Assembly	1576	na
S000000826	unplaced-scaffold	na	na	JAEOAB010000853.1	=	NW_024873555.1	Primary Assembly	1459	na
S000000827	unplaced-scaffold	na	na	JAEOAB010000854.1	=	NW_024873556.1	Primary Assembly	9607	na
S000000828	unplaced-scaffold	na	na	JAEOAB010000855.1	=	NW_024873557.1	Primary Assembly	26900	na
S000000829	unplaced-scaffold	na	na	JAEOAB010000856.1	=	NW_024873558.1	Primary Assembly	78685	na
S000000831	unplaced-scaffold	na	na	JAEOAB010000857.1	=	NW_024873559.1	Primary Assembly	12123	na
S000000832	unplaced-scaffold	na	na	JAEOAB010000858.1	=	NW_024873560.1	Primary Assembly	17573	na
S000000833	unplaced-scaffold	na	na	JAEOAB010000859.1	=	NW_024873561.1	Primary Assembly	20338	na
S000000834	unplaced-scaffold	na	na	JAEOAB010000860.1	=	NW_024873562.1	Primary Assembly	29575	na
S000000835	unplaced-scaffold	na	na	JAEOAB010000861.1	=	NW_024873563.1	Primary Assembly	24823	na
S000000836	unplaced-scaffold	na	na	JAEOAB010000862.1	=	NW_024873564.1	Primary Assembly	213008	na
S000000837	unplaced-scaffold	na	na	JAEOAB010000863.1	=	NW_024873565.1	Primary Assembly	1119	na
S000000838	unplaced-scaffold	na	na	JAEOAB010000864.1	=	NW_024873566.1	Primary Assembly	10381	na
S000000839	unplaced-scaffold	na	na	JAEOAB010000865.1	=	NW_024873567.1	Primary Assembly	32850	na
S000000840	unplaced-scaffold	na	na	JAEOAB010000866.1	=	NW_024873568.1	Primary Assembly	19190	na
S000000841	unplaced-scaffold	na	na	JAEOAB010000867.1	=	NW_024873569.1	Primary Assembly	693	na
S000000842	unplaced-scaffold	na	na	JAEOAB010000868.1	=	NW_024873570.1	Primary Assembly	11550	na
